path,id,name,latitude,longitude,height,info
TEST,L9671.153,Alberi monumentali 12,44.38298399999999,9.043489999999998,0,Id albero: 04/D969/GE/07|Provincia: Genova|Comune: Genova |Località: Nervi - Villa Groppallo|Altezza: 28|Contesto urbano: si|Nome scientifico: Araucaria bidwillii Hook.|Nome volgare: Pino del Qeensland|Circonferenza fusto (cm): 608|Altitudine: 29|Longitudine: 9°02'36,6''|Età (anni): <100|Atto nazionale: DM5450/2017|Atto regionale: DECR4539/2015
TEST,L9671.247,Alberi monumentali 106,44.436190999999994,8.96589,7.575784820503917e-8,Id albero: 06/D969/GE/07|Provincia: Genova|Comune: Genova|Località: Montesignano Chiesa S. Michele Arcangelo|Altezza: 15|Contesto urbano: si|Nome scientifico: Quercus ilex L.|Nome volgare: Leccio|Circonferenza fusto (cm): 257|Altitudine: 60|Longitudine: 8°57'57.20"|Età (anni): >200|Atto nazionale: |Atto regionale: DECR8220-2019 AM-8918
TEST,GEOJSON_CINEMA/442709467,Cinema 9,44.42745440000001,8.774821200000002,0,Sito web: http://www.nuovocinemapalmaro.it/
